Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,max_depth,min_samples_split,min_samples_leaf
DecisionTreeClassifier(max_depth=1),0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,2,1
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=2)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,2,2
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=3)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,2,3
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=4)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,2,4
"DecisionTreeClassifier(max_depth=1, min_samples_split=3)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,3,1
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=2, min_samples_split=3)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,3,2
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=3, min_samples_split=3)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,3,3
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=4, min_samples_split=3)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,3,4
"DecisionTreeClassifier(max_depth=1, min_samples_split=4)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,4,1
"DecisionTreeClassifier(max_depth=1, min_samples_leaf=2, min_samples_split=4)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.08590308370044053,0.07964601769911506,1,4,2
